,Game,Year,Genre,Publisher,North America,Global
53,LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.41,1.18
54,MLB The Show 17,2017.0,Sports,Sony Interactive Entertainment,0.94,1.16
55,LEGO Worlds,2017.0,Misc,Warner Bros. Interactive Entertainment,0.21,1.14
56,LEGO Marvel Super Heroes 2,2017.0,Action,Warner Bros. Interactive Entertainment,0.33,1.11
57,Final Fantasy XII: The Zodiac Age,2017.0,Role-Playing,Square Enix,0.37,1.1
58,Alien: Isolation,2014.0,Adventure,Sega,0.29,1.09
59,MLB The Show 18,2018.0,Sports,Sony Interactive Entertainment,0.86,1.06
60,LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.31,1.01
61,Ni no Kuni II: Revenant Kingdom,2018.0,Role-Playing,Namco Bandai Games,0.33,0.89
62,The Crew 2,2018.0,Racing,Ubisoft,0.22,0.82
63,ARK: Survival Evolved,2017.0,Action,Studio Wildcard,0.28,0.81
64,Sniper Elite 3,2014.0,Shooter,505 Games,0.25,0.74
65,MLB 14 The Show,2014.0,Sports,Sony Computer Entertainment,0.59,0.73
66,Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.25,0.72
67,The LEGO Movie Videogame,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.71
68,Tales of Berseria,2016.0,Role-Playing,Namco Bandai Games,0.22,0.65
69,One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.21,0.65
70,LEGO The Hobbit,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.62
71,World of Final Fantasy,2016.0,Role-Playing,Square Enix,0.24,0.62
72,Knowledge is Power,2017.0,Party,Sony Interactive Entertainment,0.05,0.61
73,L.A. Noire,2017.0,Adventure,Rockstar Games,0.18,0.6
74,Hidden Agenda,2017.0,Adventure,Sony Interactive Entertainment,0.08,0.59
75,Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.17,0.58
76,Everybody's Golf,2017.0,Sports,Sony Interactive Entertainment,0.12,0.56
77,DOOM VFR,2017.0,Shooter,Bethesda Softworks,0.22,0.56
78,Sonic Forces,2017.0,Platform,Sega,0.15,0.56
79,Kingdom Come: Deliverance,2018.0,Role-Playing,Deep Silver,0.18,0.56
80,Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.2,0.55
81,Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.21,0.55
82,Project CARS 2,2017.0,Racing,Namco Bandai Games,0.1,0.55
83,One Piece: Pirate Warriors 3,2015.0,Action,Namco Bandai Games,0.11,0.52
84,DiRT 4,2017.0,Racing,Codemasters,0.1,0.49
85,Battleborn,2016.0,Shooter,2K Games,0.25,0.48
86,A Way Out,2018.0,Action,Electronic Arts,0.23,0.48
87,Friday the 13th: The Game,2017.0,Action,Gun Media,0.29,0.48
88,Wolfenstein: The Old Blood,2015.0,Shooter,Bethesda Softworks,0.13,0.48
89,Deadpool,2015.0,Action,Activision,0.26,0.47
90,Knack 2,2017.0,Platform,Sony Interactive Entertainment,0.14,0.47
91,Yakuza Kiwami,2016.0,Adventure,Sega,0.13,0.45
92,Tales of Zestiria,2015.0,Role-Playing,Namco Bandai Games,0.18,0.45
93,Sword Art Online: Hollow Realization,2016.0,Role-Playing,Namco Bandai Games,0.18,0.41
94,Batman: Arkham VR,2016.0,Action,Warner Bros. Interactive Entertainment,0.32,0.39
95,Little Nightmares,2017.0,Platform,Namco Bandai Games,0.18,0.39
96,Tropico 5,2015.0,Simulation,Kalypso Media,0.07,0.38
97,Yakuza Kiwami 2,2017.0,Action,Sega,0.08,0.37
98,Vampyr,2018.0,Role-Playing,Focus Home Interactive,0.12,0.37
99,Sniper: Ghost Warrior 3,2017.0,Shooter,City Interactive,0.14,0.36
100,Sword Art Online: Lost Song,2015.0,Role-Playing,Namco Bandai Games,0.19,0.36
101,Disgaea 5: Alliance of Vengeance,2015.0,Role-Playing,NIS America,0.15,0.35
102,Gravity Rush 2,2017.0,Action-Adventure,Sony Interactive Entertainment,0.13,0.35
103,Dishonored: Death of the Outsider,2017.0,Action,Bethesda Softworks,0.1,0.33
104,Murdered: Soul Suspect,2014.0,Action-Adventure,Square Enix,0.09,0.33
105,Sonic Mania,2017.0,Platform,Sega,0.1,0.31
106,Cities: Skylines,2017.0,Simulation,Koch Media,0.15,0.3
107,The Walking Dead: Season Two,2014.0,Misc,Square Enix,0.13,0.3
108,Yooka-Laylee,2017.0,Platform,Sold Out,0.09,0.29
109,Onechanbara Z2: Chaos,2014.0,Action,NIS America,0.16,0.28
110,Secret of Mana,2018.0,Role-Playing,Square Enix,0.06,0.28
111,Robinson: The Journey,2016.0,Action-Adventure,Sony Interactive Entertainment,0.14,0.27
112,Samurai Warriors 4,2014.0,Fighting,Tecmo Koei,0.08,0.25
113,Darksiders III,2018.0,Action,THQ Nordic,0.13,0.25
114,Tearaway Unfolded,2015.0,Platform,Sony Computer Entertainment,0.07,0.24
115,.hack//G.U. Last Recode,2017.0,Role-Playing,Namco Bandai Games,0.1,0.24
116,The Wolf Among Us,2014.0,Adventure,Telltale Games,0.11,0.22
117,Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.06,0.22
118,Agents of Mayhem,2017.0,Action,Deep Silver,0.08,0.2
119,The Surge,2017.0,Action,Koch Media,0.07,0.19
120,Resident Evil 6,2016.0,Shooter,Capcom,0.1,0.17
121,Putty Squad,2013.0,Platform,System 3,0.06,0.16
122,Digimon Story: Cyber Sleuth - Hacker's Memory,2017.0,Role-Playing,Namco Bandai Games,0.05,0.16
123,Gravity Rush Remastered,2015.0,Action-Adventure,Sony Computer Entertainment,0.02,0.16
124,Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.04,0.15
125,Atelier Sophie: The Alchemist of the Mysterious Book,2015.0,Role-Playing,Tecmo Koei,0.04,0.15
126,Song of the Deep,2016.0,Action,Insomniac Games,0.12,0.15
127,Shovel Knight,2015.0,Platform,Yacht Club Games,0.08,0.14
128,MotoGP 17,2017.0,Racing,Koch Media,0.04,0.14
129,Fairy Fencer F: Advent Dark Force,2015.0,Role-Playing,Idea Factory International,0.06,0.14
130,Valentino Rossi: The Game,2016.0,Racing,Namco Bandai Games,0.05,0.13
131,The Legend of Heroes: Trails of Cold Steel III,2017.0,Role-Playing,Nihon Falcom Corporation,0.0,0.13
132,The Inpatient,2018.0,Action,Sony Interactive Entertainment,0.06,0.13
133,Job Simulator,2017.0,Simulation,Sony Interactive Entertainment,0.1,0.12
134,God Eater 2: Rage Burst,2015.0,Role-Playing,Namco Bandai Games,0.0,0.12
135,Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,Adventure,Warner Bros. Interactive Entertainment,0.06,0.12
136,Minecraft: Story Mode - Season Two,2017.0,Adventure,Telltale Games,0.09,0.11
137,The Invisible Hours,2017.0,Adventure,GameTrust,0.09,0.11
138,Monster Energy Supercross - The Official Videogame,2018.0,Racing,Milestone S.r.l.,0.08,0.11
139,Tokyo Xanadu eX+,2016.0,Role-Playing,Nihon Falcom Corporation,0.05,0.1
140,Puyo Puyo Tetris,2014.0,Puzzle,Sega,0.05,0.1
141,Nights of Azure,2015.0,Action,Tecmo Koei,0.04,0.09
142,Lara Croft and the Temple of Osiris,2014.0,Action,Square Enix,0.0,0.09
143,Shantae: Half-Genie Hero,2016.0,Platform,Xseed Games,0.06,0.08
144,Earth Defense Force 4.1: The Shadow of New Despair,2015.0,Shooter,PQube,0.05,0.08
145,The Sexy Brutale,2017.0,Adventure,Badland Studio,0.05,0.08
146,Dead Rising,2016.0,Action,Capcom,0.04,0.08
147,The Book of Unwritten Tales 2,2015.0,Adventure,Nordic Games,0.0,0.07
148,The Silver Case,2017.0,Visual Novel,NIS America,0.05,0.07
149,Steins;Gate 0,2015.0,Adventure,PQube,0.0,0.07
150,Sherlock Holmes: The Devil's Daughter,2016.0,Adventure,Bigben Interactive,0.05,0.06
151,Aven Colony,2017.0,Strategy,Sold Out,0.04,0.06
152,Battle Chasers: Nightwar,2017.0,Role-Playing,THQ Nordic,0.03,0.06
153,Black Mirror,2017.0,Adventure,THQ Nordic,0.04,0.05
154,Nitroplus Blasterz: Heroines Infinite Duel,2015.0,Fighting,Marvelous Interactive,0.01,0.05
155,Child of Light,2014.0,Role-Playing,Ubisoft,0.0,0.05
156,Real Farm,2017.0,Simulation,Soedesco,0.04,0.05
157,The Talos Principle,2015.0,Puzzle,Nighthawk Interactive,0.0,0.04
158,Axiom Verge,2017.0,Action,Badland Studio,0.03,0.04
159,Here They Lie,2016.0,Adventure,Sony Interactive Entertainment,0.0,0.04
160,Aragami,2016.0,Action,Maximum Games,0.03,0.04
161,Assassin's Creed Chronicles: China,2015.0,Action-Adventure,Ubisoft,0.0,0.04
162,Danganronpa Another Episode: Ultra Despair Girls,2017.0,Shooter,NIS America,0.03,0.04
163,The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,Activision,0.0,0.03
164,Road Rage,2017.0,Racing,Maximum Games,0.02,0.03
165,The Town of Light,2017.0,Adventure,Wired Productions,0.02,0.03
166,Zero Escape: Zero Time Dilemma,2017.0,Adventure,Aksys Games,0.02,0.03
167,Root Letter,2016.0,Visual Novel,PQube,0.0,0.03
168,PaRappa the Rapper Remastered,2017.0,Music,Sony Interactive Entertainment,0.0,0.02
169,Dungeons 2,2016.0,Role-Playing,Kalypso Media,0.02,0.02
170,Tricky Towers,2017.0,Puzzle,Soedesco,0.02,0.02
171,Teslagrad,2014.0,Platform,Rain Games,0.0,0.01
172,The Witness,2016.0,Misc,"Thekla, Inc.",0.0,0.0
173,A Boy and His Blob,,Platform,,0.0,0.0
174,Ape Escape 2,,Platform,,0.0,0.0
175,Dark Cloud 2,,Role-Playing,,0.0,0.0
176,Fez,,Misc,,0.0,0.0
177,Heavy Rain,,Adventure,,0.0,0.0
178,Psychonauts,2017.0,Action,Sony Interactive Entertainment,0.0,0.0
179,Resident Evil 5,2016.0,Action,Capcom,0.0,0.0
180,Sound Shapes,,Misc,,0.0,0.0
181,The Amazing Spider-Man 2,2014.0,Misc,Activision,0.0,0.0
182,The King of Fighters 2000,,Fighting,,0.0,0.0
183,Ether One,2015.0,Adventure,Soedesco,0.0,0.0
184,Dust: An Elysian Tail,,Platform,,0.0,0.0
185,Rainbow Moon,,Role-Playing,,0.0,0.0
186,Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0
187,Apotheon,,Platform,,0.0,0.0
188,Apotheon,,Action,,0.0,0.0
189,Hotline Miami,,Action,,0.0,0.0
190,The Unfinished Swan,,Adventure,,0.0,0.0
191,Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0
192,Transistor,,Role-Playing,,0.0,0.0
193,The Swapper,,Misc,,0.0,0.0
194,Outlast,,Misc,,0.0,0.0
195,Contrast,2013.0,Misc,Compulsion Games,0.0,0.0
196,Doki-Doki Universe,,Misc,,0.0,0.0
197,Hohokum,,Adventure,,0.0,0.0
198,CounterSpy,,Action,,0.0,0.0
199,Daylight,,Misc,,0.0,0.0
200,Peggle 2,,Puzzle,,0.0,0.0
201,Mercenary Kings,,Misc,,0.0,0.0
202,Octodad: Dadliest Catch,,Misc,,0.0,0.0
203,Rogue Legacy,,Action,,0.0,0.0
204,Defense Grid 2,,Misc,,0.0,0.0
205,Volume,,Action,,0.0,0.0
206,Armikrog,,Adventure,,0.0,0.0
207,Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0
208,RESOGUN,,Shooter,,0.0,0.0
209,Everybody's Gone to the Rapture,,Adventure,,0.0,0.0
210,Hotline Miami 2: Wrong Number,,Misc,,0.0,0.0
211,Valiant Hearts: The Great War,,Misc,,0.0,0.0
212,Tales from the Borderlands,,Adventure,,0.0,0.0
213,Assassin's Creed Freedom Cry,,Misc,,0.0,0.0
214,forma.8,,Misc,,0.0,0.0
215,Costume Quest 2,,Role-Playing,,0.0,0.0
216,Citizens of Earth,,Misc,,0.0,0.0
217,Road Not Taken,,Misc,,0.0,0.0
218,MouseCraft,,Misc,,0.0,0.0
219,Firewatch,,Adventure,,0.0,0.0
220,Aaru's Awakening,,Action,,0.0,0.0
221,Loadout,,Shooter,,0.0,0.0
222,Magicka 2,,Action,,0.0,0.0
223,Toren,,Adventure,,0.0,0.0
224,The Escapists,,Action,,0.0,0.0
225,Alienation,,Shooter,,0.0,0.0
226,Titan Souls,,Action,,0.0,0.0
227,Salt and Sanctuary,,Action,,0.0,0.0
228,Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0
229,Enter the Gungeon,,Shooter,,0.0,0.0
230,What Remains of Edith Finch,,Adventure,,0.0,0.0
231,Wattam,,Action,,0.0,0.0
232,Fat Princess Adventures,,Action,,0.0,0.0
233,Grow Home,,Platform,,0.0,0.0
234,Beyond Eyes,,Adventure,,0.0,0.0
235,Assassin's Creed Chronicles: India,,Action,,0.0,0.0
236,The Walking Dead: Michonne,,Adventure,,0.0,0.0
237,Unravel,,Platform,,0.0,0.0
238,Final Fantasy VII Remake,2019.0,Role-Playing,Square Enix,0.0,0.0
239,Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0
240,Hardware: Rivals,,Action,,0.0,0.0
241,The Binding of Isaac: Rebirth,,Action,,0.0,0.0
242,Fe,,Action,,0.0,0.0
243,Days Gone,2019.0,Action-Adventure,Sony Interactive Entertainment,0.0,0.0
244,Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0
245,Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0
246,Chaos on Deponia,2017.0,Adventure,Daedalic Entertainment,0.0,0.0
247,The Mummy Demastered,,Action,,0.0,0.0
