,Game,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
0,Grand Theft Auto V,5913,231535,0.4,4.5,200,700
1,Call of Duty: WWII,7360,154762,0.6,3.6,35,40
2,FIFA 18,3098,67123,6.1,3.6,40,50
3,FIFA 17,3370,69911,4.3,3.7,50,60
4,Fallout 4,3311,170083,3.5,4.2,60,80
5,FIFA 16,3177,67700,5.1,3.8,35,40
6,Call of Duty: Advanced Warfare,4896,109190,0.8,3.6,20,25
7,Battlefield 1,4515,145216,2.0,4.2,35,40
8,FIFA 15,3173,65472,4.3,3.8,20,25
9,The Witcher 3: Wild Hunt,3253,143548,5.9,4.7,80,100
10,Final Fantasy XV,6055,63532,0.6,4.1,60,80
11,Tom Clancy's The Division,3417,133058,0.8,3.7,60,80
12,Call of Duty: Ghosts,4922,74992,1.6,3.5,20,25
13,Batman: Arkham Knight,4835,174910,1.3,4.2,40,50
14,Assassin's Creed Origins,2582,121365,10.8,4.4,60,80
15,Far Cry 4,2321,133116,7.5,4.1,25,30
16,Far Cry 5,3777,113871,2.4,4.0,40,50
17,Battlefield 4,3972,133500,1.7,3.9,50,60
18,Gran Turismo Sport,6353,57348,1.2,4.0,200,700
19,Assassin's Creed Syndicate,2409,110174,9.4,4.1,35,40
20,Mortal Kombat X,4865,125523,2.1,4.0,50,60
21,Assassin's Creed IV: Black Flag,3177,122556,2.9,4.2,40,50
22,Tom Clancy's Ghost Recon Wildlands,3330,82422,2.7,3.7,60,80
23,Bloodborne,2153,163572,24.4,4.7,60,80
24,Metal Gear Solid V: The Phantom Pain,3068,168755,8.5,4.3,150,200
25,Mafia III,3499,107596,3.6,3.5,40,50
26,Dying Light,3822,132269,1.1,4.0,40,50
27,Dark Souls III,2123,116622,22.6,4.6,80,100
28,Uncharted: The Lost Legacy,2210,113045,27.6,4.3,15,20
29,Need for Speed Rivals,2774,72693,14.9,3.5,20,25
30,PlayStation VR Worlds,9737,43905,0.9,3.5,15,20
31,Rise of the Tomb Raider,5995,123487,2.9,4.3,40,50
32,LittleBigPlanet 3,4811,86828,1.6,3.5,15,20
33,Rocket League,5500,206979,2.2,4.2,15,20
34,Just Cause 3,4971,128407,2.1,3.6,60,80
35,Dishonored 2,2867,53926,13.2,4.1,30,35
36,Until Dawn,2048,135672,33.1,4.2,15,20
37,Knack,3714,86731,8.6,3.2,50,60
38,The Evil Within,4736,56957,3.2,4.0,50,60
39,Titanfall 2,2559,125923,12.1,4.3,15,20
40,Injustice 2,4410,63317,1.9,4.1,60,80
41,Tekken 7,1858,64736,36.5,3.9,8,10
42,Persona 5,2524,76018,13.7,4.7,150,200
43,The Order: 1886,1633,120792,54.6,3.6,8,10
44,Wolfenstein: The New Order,2099,93084,26.6,4.2,15,20
45,Detroit: Become Human,2221,162329,18.0,4.4,20,25
46,Naruto Shippuden: Ultimate Ninja Storm 4,2833,52293,6.1,4.0,35,40
47,Mass Effect: Andromeda,3071,69124,7.9,3.6,80,100
48,The Sims 4,2738,43443,17.7,3.2,3,4
49,The Last Guardian,3435,31767,8.1,3.8,25,30
50,Guitar Hero Live,5159,24575,1.8,3.4,200,700
51,Shadow of the Colossus,3361,98007,10.0,4.2,20,25
52,LEGO Dimensions,3230,11726,4.1,4.0,15,20
53,LEGO Jurassic World,1829,27986,40.3,3.9,25,30
54,MLB The Show 17,3174,10153,7.1,4.4,30,35
55,LEGO Worlds,5379,19148,1.5,3.3,60,80
56,LEGO Marvel Super Heroes 2,2861,18946,13.6,3.7,50,60
57,Final Fantasy XII: The Zodiac Age,2804,39228,14.2,4.4,80,100
58,Alien: Isolation,3109,55041,9.1,4.1,30,35
59,MLB The Show 18,2231,8613,14.2,4.3,20,25
60,LEGO Marvel's Avengers,2575,24612,18.8,3.8,25,30
61,Ni no Kuni II: Revenant Kingdom,3415,40070,1.7,4.1,60,80
62,The Crew 2,2268,28957,19.4,3.4,25,30
63,ARK: Survival Evolved,4957,39272,1.8,3.4,6,8
64,Sniper Elite 3,4384,44247,3.1,3.5,20,25
65,MLB 14 The Show,4610,9926,4.7,4.0,12,15
66,Deus Ex: Mankind Divided,5827,68070,1.7,3.9,40,50
67,The LEGO Movie Videogame,1838,15767,41.4,3.6,15,20
68,Tales of Berseria,3216,26126,8.6,4.2,120,150
69,One Piece: Burning Blood,2023,12452,32.9,3.8,15,20
70,LEGO The Hobbit,1951,17712,37.7,3.6,30,35
71,World of Final Fantasy,2765,31677,14.0,4.0,60,80
72,Knowledge is Power,3873,32875,3.6,3.4,20,25
73,L.A. Noire,3300,19039,15.6,4.4,30,35
74,Hidden Agenda,2746,19973,10.9,3.4,6,8
75,Call of Duty: Modern Warfare Remastered,2401,124886,21.6,4.3,15,20
76,Everybody's Golf,4369,20918,4.0,4.0,50,60
77,DOOM VFR,626,12288,7.6,3.6,3,4
78,Sonic Forces,4787,55777,3.9,3.3,20,25
79,Kingdom Come: Deliverance,7536,22276,0.7,3.7,120,150
80,Lords of the Fallen,4467,95492,1.8,3.2,25,30
81,Sniper Elite 4,6122,56205,1.4,3.8,35,40
82,Project CARS 2,3883,12832,6.2,3.6,35,40
83,One Piece: Pirate Warriors 3,2334,18816,15.1,4.0,150,200
84,DiRT 4,3094,15480,9.2,4.0,50,60
85,Battleborn,5346,14925,1.6,3.2,120,150
86,A Way Out,1793,51657,46.6,4.0,6,8
87,Friday the 13th: The Game,5871,39047,1.6,3.4,200,700
88,Wolfenstein: The Old Blood,2278,45881,22.0,3.9,15,20
89,Deadpool,2787,23569,15.3,3.7,15,20
90,Knack 2,2361,22854,19.0,3.6,15,20
91,Yakuza Kiwami,4386,54605,3.6,4.3,60,80
92,Tales of Zestiria,4506,23832,3.9,3.8,80,100
93,Sword Art Online: Hollow Realization,3405,11344,8.5,3.9,100,120
94,Batman: Arkham VR,594,19074,16.4,3.9,3,4
95,Little Nightmares,1522,23298,5.1,3.8,5,6
96,Tropico 5,5059,48208,1.1,3.6,30,35
97,Yakuza Kiwami 2,2685,15111,11.0,4.6,60,80
98,Vampyr,3113,54188,11.1,3.5,20,25
99,Sniper: Ghost Warrior 3,2374,11104,22.1,3.5,30,35
100,Sword Art Online: Lost Song,2399,16566,18.2,3.8,50,60
101,Disgaea 5: Alliance of Vengeance,3145,9349,9.1,4.4,100,120
102,Gravity Rush 2,2848,37007,12.1,3.9,40,50
103,Dishonored: Death of the Outsider,1876,12545,37.0,4.0,12,15
104,Murdered: Soul Suspect,1581,40853,49.8,3.5,8,10
105,Sonic Mania,1177,60466,2.6,3.9,4,5
106,Cities: Skylines,9133,29604,0.2,3.9,150,200
107,The Walking Dead: Season Two,1161,69102,72.4,4.0,8,10
108,Yooka-Laylee,2269,17479,24.0,3.6,20,25
