Game,Year,Genre,Publisher,North America,Global,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
Peggle 2,,Puzzle,,0.0,0.0,2637,22058,11.6,3.8,15,20
Mercenary Kings,,Misc,,0.0,0.0,3576,15907,8.8,3.3,50,60
Octodad: Dadliest Catch,,Misc,,0.0,0.0,501,7145,22.0,3.7,4,5
Rogue Legacy,,Action,,0.0,0.0,3986,51090,5.3,3.9,20,25
Defense Grid 2,,Misc,,0.0,0.0,1921,4903,33.2,4.0,25,30
Volume,,Action,,0.0,0.0,2021,6073,39.7,3.5,8,10
Armikrog,,Adventure,,0.0,0.0,407,1352,44.0,2.4,2,3
Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0,6942,55704,0.7,3.5,12,15
RESOGUN,,Shooter,,0.0,0.0,5964,100912,0.7,4.1,8,10
Everybody's Gone to the Rapture,,Adventure,,0.0,0.0,1818,44301,40.8,3.3,8,10
Hotline Miami 2: Wrong Number,,Misc,,0.0,0.0,3416,21697,7.6,4.1,20,25
Valiant Hearts: The Great War,,Misc,,0.0,0.0,466,77519,16.7,4.0,6,8
Tales from the Borderlands,,Adventure,,0.0,0.0,1479,12296,71.9,4.1,8,10
Assassin's Creed Freedom Cry,,Misc,,0.0,0.0,547,55589,18.4,3.4,6,8
forma.8,,Misc,,0.0,0.0,2909,15539,17.8,2.7,6,8
Costume Quest 2,,Role-Playing,,0.0,0.0,413,4008,30.9,3.7,6,8
Citizens of Earth,,Misc,,0.0,0.0,693,2095,14.1,3.5,20,25
Road Not Taken,,Misc,,0.0,0.0,1316,23530,1.5,2.8,10,12
MouseCraft,,Misc,,0.0,0.0,441,13982,40.5,2.9,4,5
Firewatch,,Adventure,,0.0,0.0,489,15419,17.8,4.0,3,4
Aaru's Awakening,,Action,,0.0,0.0,585,2681,23.4,2.5,6,8
Loadout,,Shooter,,0.0,0.0,2248,40910,0.6,2.6,100,120
Magicka 2,,Action,,0.0,0.0,5787,34755,3.4,3.2,20,25
Toren,,Adventure,,0.0,0.0,403,1830,47.4,2.7,2,3
The Escapists,,Action,,0.0,0.0,5660,12030,2.3,3.4,20,25
Alienation,,Shooter,,0.0,0.0,3015,35365,4.7,3.9,50,60
Titan Souls,,Action,,0.0,0.0,5975,26847,3.4,3.4,15,20
Salt and Sanctuary,,Action,,0.0,0.0,2457,15505,19.4,4.3,20,25
Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0,2867,13041,11.4,3.3,40,50
Enter the Gungeon,,Shooter,,0.0,0.0,4139,17157,3.3,4.1,80,100
What Remains of Edith Finch,,Adventure,,0.0,0.0,360,18418,49.3,4.2,2,3
Wattam,,Action,,0.0,0.0,2701,1401,17.4,3.6,4,5
Fat Princess Adventures,,Action,,0.0,0.0,2930,11085,16.3,3.6,20,25
Grow Home,,Platform,,0.0,0.0,641,31592,14.4,3.2,8,10
Beyond Eyes,,Adventure,,0.0,0.0,373,2408,60.0,2.9,1,2
